,HR@10,MRR,NDCG@10
Transformer,0.05082212257100149,0.020535862576221323,0.027578202072603017
Popularity,0.04633781763826607,0.0186051201746269,0.025055299531222413
Markov,0.0687593423019432,0.03527771846157496,0.04323151749791683
Random,0.0014947683109118087,0.00029895366218236175,0.0005782553172414673
